id,text,true_intent,pred_intent,reply,evidence,escalate,esc_reason,sim
116,@AmazonHelp courier left #669531803 at the wrong address again,delivery_issue,delivery_issue,"That's not the experience we want for you. I've flagged #669531803 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB","That's not the experience we want for you. I've flagged #512477736 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB",False,"intent 'delivery_issue' is low-risk, grounding confidence 0.85 is above threshold, no escalation triggers found",0.852
144,"@AmazonHelp Echo Dot stopped working after 2 days, order #747960044",product_defect,product_defect,"Sorry to hear the phone case isn't working as expected. I can process a free replacement for #747960044 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL","Sorry to hear the phone case isn't working as expected. I can process a free replacement for #557739343 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL",False,"intent 'product_defect' is low-risk, grounding confidence 0.66 is above threshold, no escalation triggers found",0.664
200,"@AmazonHelp I was charged $199.99 twice for #329347913, please fix this",billing_dispute,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #329347913 to billing to confirm and reverse the extra $199.99 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #851205475 to billing to confirm and reverse the extra $199.99 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.817
120,"@AmazonHelp I was charged $89.0 twice for #752935638, please fix this",billing_dispute,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #752935638 to billing to confirm and reverse the extra $89.0 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #993399121 to billing to confirm and reverse the extra $89.0 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.851
203,"@AmazonHelp this charge for #270417633 doesn't match what I was quoted, $89.0 is wrong",billing_dispute,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #270417633 to billing to confirm and reverse the extra $89.0 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #133471933 to billing to confirm and reverse the extra $19.99 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.874
131,"please refund #141205061, the phone case isn't what I ordered @AmazonHelp",refund_request,refund_request,"I've started a refund of $24.0 for #141205061, it should post back to your original payment method within 3-5 business days. Sorry for the trouble. ^SN","I've started a refund of $24.0 for #838953322, it should post back to your original payment method within 3-5 business days. Sorry for the trouble. ^SN",False,"intent 'refund_request' is low-risk, grounding confidence 0.51 is above threshold, no escalation triggers found",0.514
151,"locked out of my account @AmazonHelp, reset link isn't arriving",account_access,account_access,"I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN","I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN",True,intent 'account_access' is policy-flagged as always-human (money movement or account security),1.0
49,"@amazonhelp this charge for #400925407 doesn't match what i was quoted, $9.99 is wrong",billing_dispute,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #400925407 to billing to confirm and reverse the extra $9.99 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #596573456 to billing to confirm and reverse the extra $49.99 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.866
48,"2FA code never comes through, can't access my account @AmazonHelp #help",account_access,account_access,"I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN","I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN",True,intent 'account_access' is policy-flagged as always-human (money movement or account security),0.909
132,@AmazonHelp your app keeps crashing on checkout,other,other,"Thanks for the feedback, I'll pass this along to the right team. Let us know if there's anything specific we can help troubleshoot in the meantime. ^EV","Thanks for the feedback, I'll pass this along to the right team. Let us know if there's anything specific we can help troubleshoot in the meantime. ^EV",False,"intent 'other' is low-risk, grounding confidence 1.00 is above threshold, no escalation triggers found",1.0
